body_site	profiled_ERR2162200	profiled_ERR2162201	profiled_ERR2162202	profiled_ERR2162203	profiled_ERR2162204	profiled_ERR2162205	profiled_ERR2162206	profiled_ERR2162207	profiled_ERR2162208	profiled_ERR2162209	profiled_ERR2162210	profiled_ERR2162211	profiled_ERR2162212	profiled_ERR2162213	profiled_ERR2162214	profiled_ERR2162215	profiled_ERR2162216	profiled_ERR2162217	profiled_ERR2162218	profiled_ERR2162219	profiled_ERR2162220	profiled_ERR2162221	profiled_ERR2162222	profiled_ERR2162223	profiled_ERR2162224
s__Rheinheimera_SGB14999	0	0	0.007	0.02696	0.01479	0.01177	0	0	0	0	0	0.00537	0.01027	0.09492	0	0	0	0.00829	0	0	0	0.00448	0	0	0
s__Enterocloster_asparagiformis	0	0	0.00284	0	0	0	0	0.04351	0.05006	0	0.01556	0.04301	0	0.00777	0	0	0	0	0.04166	0	0.1452	0	0	0.10452	0
s__GGB3109_SGB4119	0.00439	0.0552	0.13131	0	0	0.05371	0.2612	0	0	0	0	0	0	0	0	0	0.00539	0.04012	0	0	0	0	0	0	0.00208
s__GGB9614_SGB15049	0.03555	0	0.06207	0	0.03872	0	0	0	0	0	0	0.04528	0.01993	0.35414	0	0	0	0	0	0	0	0.00599	0.19649	0	0
s__Akkermansia_muciniphila	0	3.65851	0	0	0	0	0.1817	4.62777	0	0	0	0	0.36962	0	0	0.88493	0	0	0	0.47368	0	0	0	0.59882	31.11742
s__Barnesiella_intestinihominis	0	1.70919	0	0.32075	1.5194	0	0	0.86369	0	0	0	3.90682	2.95722	0	1.71091	0	0	0	0	0	0	0.34785	0	0	0
s__Candidatus_Borkfalkia_ceftriaxoniphila	0	0.26494	0	0	0	0	0	0.09981	0	0.51243	0	0.08831	0.05688	0.07291	0	0.0133	0	0	0	0	0	0	0.09765	0	0
s__Lachnospira_sp_NSJ_43	0	0.20692	0	0.79286	0	0.12088	0	0	0	0	0.02402	0	0.07165	0	0	0	0	0	0	1.49536	0	0.11998	1.27291	0	0
s__Sutterella_wadsworthensis	0	0.16012	0	0	0.02412	0	0	0	0	0	0	0	0	0	0	0	0.16927	0	0.49168	0.71831	1.68619	0.31842	0	0.80609	0
s__GGB9531_SGB14932	0	0.14071	0.16214	0	0	0.01829	0	0.81219	0.07731	0	0	0	0.10553	0	0	0	0	0	0.2862	0	0	0	0	0	0.04638
s__Faecalibacterium_SGB15346	0	0.13728	0	0.22157	0.06307	0.68591	0	0	0	0	0	0	0	0.65979	0.08132	0	0	0	0	1.67496	0	0.11045	0	0	0
s__Ruminococcaceae_bacterium_AM28_23LB	0	0.04773	0	0.00804	0	0	0	0	0	0	0.01002	0	0	0	0	0	0	0	0.0035	0.0163	0.01353	0.00099	0	0	0.01097
s__Coprobacter_fastidiosus	0	0.03893	0	0	0.00474	0	0	0.07711	1.24028	0	0	0.66964	0	0	0.33354	1.61313	0	4.27886	0	0	0	0	0	0	0
s__Anaerobutyricum_soehngenii	0	0.02671	0	0.09101	0.00431	0	0.87457	0.00079	0	0	0.01637	0	0	0.00246	0	0	0	0	0	0	0	0.00061	0	0	0
s__GGB3819_SGB5184	0	0.01626	0.48439	0	0	0.05557	0	0	0.13204	0	0	0	0	0.05458	0.05006	0.12403	0	0	0.16913	0	0	0	0	0	0
s__Oscillospiraceae_bacterium_NSJ_64	0	0	0.0102	0.00116	0	0	0	0	0	0	0	0	0.00058	0.01126	0	0	0	0	0.00757	0.00343	0.00655	0.00389	0	0	0
s__Blautia_producta	0	0	0.00414	0	0	0	0.11187	0	0	0.01573	0	0.19656	0	0	0	0	0.1251	0.00576	0.01279	0	0	0	0	0	0.06337
s__GGB9512_SGB14909	0	0	0	0.05295	0.13964	0	0	0.30766	0	0	0	0	0	0	0	0	0.21282	0	0.89253	0.33658	0.67868	0.00481	0	0	0
s__Nitrosopumilus_SGB14899	0	0	0	0.02424	0	0	0	0	0.06105	0	0	0	0.14586	0.04922	0	0.00179	0.06033	0	0.07843	0	0	0.024	0	0	0
s__Clostridiaceae_bacterium_Marseille_Q4143	0	0	0	0.00731	0	0.05127	0	0	0	0	0.0079	0.03495	0.05687	0.02095	0	0	0	0	0	0	0	0.0167	0.041	0	0
s__GGB79973_SGB14341	0	0	0	0.00506	0.03313	0	0	0.21683	0	0.01815	0	0	0.02013	0	0.02798	0	0	0	0	0.09038	0	0.04089	0	0	0
s__GGB9719_SGB15273	0	0	0	0	0	0.0103	0	0.02784	0.06501	0	0	0	0.00243	0	0	0.17779	0.60937	0	0	0.00871	0	0	0.46812	0	0
s__Lachnoclostridium_edouardi	0	0	0	0	0	0.00061	0	0.02263	0.00977	0	0	0.01818	0	0.00384	0	0	0	0	0.02818	0	0.01417	0	0	0	0.02878
s__Bacteroides_faecis	2.17198	0.4561	0	0.02926	0.85945	0	0	0	0	0.00335	0	6.8806	0	0	0	0	0	0	0	0	0	0.34414	0	0	0
s__Clostridium_scindens	0.00995	0	0	0	0	0	0	0	0.0024	0.03257	0	0.00889	0	0	0	0	0	0	0	0	0.00926	0	0	0.01629	0.08313
s__Harryflintia_acetispora	0.01012	0.00295	0	0	0	0.00236	0	0	0	0	0	0	0	0	0	0	0	0	0.00287	0.0042	0.02375	0	0	0	0.01486
s__Klebsiella_pneumoniae	0.00682	0	0	0	0	0	0	0.003	0.02722	0	1.95267	0.56244	0	0	0	0	0	0	0	0	0	0	0.03803	0.09193	0
s__Pseudoflavonifractor_gallinarum	0.00391	0	0.00074	0	0	0	0	0	0	0	0.00217	0	0	0.00276	0.02113	0.00195	0	0	0	0	0.01315	0	0	0	0
s__Alistipes_communis	0	0.92782	0	0.10697	0	0	0	0	0	0	0	0.06203	0	0	0	0.17875	0	0	0.16853	3.17281	0	0.16231	0	0	0
s__Lawsonibacter_sp_NSJ_51	0	0.27194	0	0.00905	0	0.07516	0	0	0.16139	0	0	0	0.00501	0	0	0	0	0	0.17463	0.03066	0	0	0	0	0
s__Alistipes_indistinctus	0	0.26701	0	0	0	0	0	0	0.23773	0	0	0.04497	0.12875	0	0	0.03112	0.80903	0	0	0	0	0.0209	0	0	0
s__Bifidobacterium_adolescentis	0	0.15582	0	0.17603	0.07404	0	6.63399	0	0	0	0.01795	0	0	0	0	0	0	0	0	0.11857	0	0.16432	0	0	0
s__Clostridium_sp_AM49_4BH	0	0.09234	0	0	0.06393	0	0	0.12559	0	0	0	0	0.632	0	0	0	0	0	0	0.09053	0	0.14781	0	0	0.00509
s__Clostridium_sp_AM33_3	0	0.05487	0	0.01879	0.01513	0.09417	0	0	0	0	0.05666	0	0	0	0	0	0	0	0	0	0	0.03827	0.03869	0	0
s__GGB9707_SGB15229	0	0.05394	0	0.02475	0.28109	0	0	0.00817	0	0	0	0	0.09764	0	0	0	0	0	0	0	0	0.05165	0.05616	0	0
s__Faecalibacillus_intestinalis	0	0.03765	0	0	0.04325	0.0556	0	0	0	0	0	0.36336	0	0	0	0	0	0	0	0.038	0	0.05948	0.02034	0	0
s__Eubacterium_ventriosum	0	0.0353	1.65378	0.04716	0.01233	0	0	0	0	0	0.13355	0	0	0.01604	0	0	0	0	0	0	0	0.06955	0	0	0
s__Monoglobus_pectinilyticus	0	0.02112	0	0	0	0	0.08397	0.13756	0	0.22798	0	0	0	0	0	0	0	0	0	0.05452	0.4779	0	0	0	0.10637
s__GGB51510_SGB71883	0	0	0.06851	0	0	0.00358	0.23639	0	0	0.08862	0	0.0162	0	0	0	0.0117	0	0	0	0	0	0	0	0	0.00484
s__Romboutsia_timonensis	0	0	0.03603	0	0	0	0	0	0	0	0.00712	0	0.00071	0.02082	0	0	0	0	0	0.03394	0	0	0.03763	0.08958	0
s__Clostridium_spiroforme	0	0	0.03079	0	0	0	0.04054	0	0	0	0	0.01013	0	0	0.00392	0	0	0	0	0.0076	0.00059	0	0	0	0.04265
s__GGB80011_SGB15265	0	0	0	0.60558	0.06926	0.00149	0	0	0	0	2.28031	0	1.35681	0	0	0	0	0	0	2.93398	0	0	0.21349	0	0
s__Neglectibacter_timonensis	0	0	0	0.04981	0	0.00294	0	0	0.01308	0	0	0	0.00725	0.03097	0	0	0	0	0	0	0	0.00602	0	0	0.04581
s__GGB9619_SGB15067	0	0	0	0	0	0.02766	0	0.01359	0	0	0	0	0.13583	0.20717	0	0	0	0	0	0.08073	0	0.0035	0.14278	0	0
s__GGB42994_SGB4746	0	0	0	0	0	0	0	0	0.8075	0	0	0.46755	0	0.15752	0.09216	0.22018	0	0	0	0.00573	0.00627	0	0	0	0
s__Acidaminococcus_intestini	0.52472	0.47841	0	0.27933	0	0	0	0	0	0	3.30652	0	0	0.86098	0	0	0	0	0	0	0.6885	0	0	0	0
s__Clostridium_sp_AF20_17LB	0.74784	0	0	0.09278	0.23783	0	0	0	0	0	0	0	0.02866	0	0	0	0	0	0	0	0	0.0158	0.24473	0	0
s__GGB9719_SGB15272	0.02673	0	0	0	0	0	0	0	0	0	0	0.18344	0	0	0	0	0	0	0.42898	0	0.58821	0	0.00224	0	0.73457
s__Holdemania_massiliensis	0.00588	0	0.22147	0	0	0.0033	0	0	0	0	0	0	0.04597	0	0.06932	0	0	0	0	0	0	0	0.03626	0	0
s__Prevotella_copri_clade_A	40.49969	0	0.01512	24.10038	53.64118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0539	0	37.14579	0
s__Tyzzerella_nexilis	0.10627	0	0.07745	0	0	0	0.1542	0	0	0	0	0	0	0	0	0.00578	0	0	0	0	0.02441	0	0	0	0.11812
s__GGB9708_SGB15234	0	0.69561	0	0.08453	0	0.09257	0	0	0	0	0	0	0	0	0	0	0	0	0.0432	0	0	1.10446	0.31808	0	0
s__Ruminococcus_lactaris	0	0.16038	1.06062	0	0.07259	0.38978	0	0	0	0	0.12429	0	0.36214	0	0	0	0	0	0	0	0	0	0	0	0
s__GGB13404_SGB14252	0	0.14274	0	0.1488	0	0	0	0	0	0	0	0	0.0088	0	0	0	0	0	0.03149	0.09071	0	0.05469	0	0	0
s__GGB80140_SGB15224	0	0.05933	0	0.08849	0	0	0	0	0	0	0	0	0.03263	0.04725	0	0	0	0	0	0	0	0.01923	0.13544	0	0
s__Sanguibacter_SGB15121	0	0.04359	0	0	0	0	0	0.08684	0.0272	0	0	0	0	0	0	0	0	0.00491	0.04335	0	0	0	0	0.00801	0
s__Lachnospiraceae_bacterium_OM04_12BH	0	0.02285	0	0.00189	0.00522	0	0	0	0	0	0	0	0.16926	0	0	0	0	0	0	0	0	0.00905	0	0.01725	0
s__Eubacteriaceae_bacterium	0	0.01823	0.45265	0	0	0	0	0.03131	0	0	0	0	0.22454	0	0	0	0.59332	0	0	0	0	0	0	0	0.37096
s__Lacrimispora_saccharolytica	0	0.01622	0	0	0	0	3.25559	0	0	0	0	0.01089	0	0	0	0.10164	0	0	0.17705	0.02034	0	0	0	0	0
s__GGB9537_SGB14940	0	0.00489	0	0	0	0.0063	0	0.1436	0	0	0	0	0	0	0	0	0.02592	0	0.00426	0	0	0	0	0	0.07183
s__Blautia_stercoris	0	0.00232	0	0	0.07361	0	0	0	0	0	0	0	0	0.01733	0	0	0	0	0	0.01257	0	0	0.31712	0.00626	0
s__Veillonella_dispar	0	0.00154	0	0	0	0	0	0	0	0	0.02985	0	0.00944	0	0	0	0	0	0	0	0.00712	0	0.00659	0.07804	0
s__Longibaculum_muris	0	0	0.09091	0	0	0	0	0.09689	0.02009	0	0	0.01465	0.0456	0	0.1169	0	0	0	0	0	0	0	0	0	0
s__Coprobacillus_cateniformis	0	0	0.05856	0	0	0	0.12165	0.00701	0	0	0.00799	0	0	0	0	0	0.00386	0	0	0.00729	0	0	0	0	0
s__Intestinibacter_bartlettii	0	0	0.01245	0	0	0	0.53066	0	0	0	0	0	0	0.01491	0	0	0	0	0	0.01958	0.01041	0	0.00632	0	0
s__GGB33469_SGB15236	0	0	0	2.19502	0	0.17639	0	0	0	0	0	0	1.19524	0	0	0	0	0	0.16299	0	0	0.56699	0.3225	0	0
s__Intestinimonas_gabonensis	0	0	0	0.04656	0	0.00013	0	0	0	0	0	0	0	0.01736	0	0.00016	0.02928	0	0	0	0.00625	0	0	0	0
s__GGB2970_SGB3952	0	0	0	0.03152	0	0	0	0	0	0	0	0	0.04116	0.02203	0	0	0	0	0.00195	0	0	0.02808	0	0	0.04662
s__Bacteroides_finegoldii	0	0	0	0.02717	0	0	0	0	0	0	0	2.77011	0	0.35823	0	0	2.27126	0	0	0	3.27035	0.05692	0	0	0
s__GGB52130_SGB14966	0	0	0	0.00511	0	0.04649	0	0	0	0	0.02461	0	0.03115	0	0	0.10577	0	0	0	0	0	0.01751	0	0	0
s__GGB3061_SGB4063	0	0	0	0.00495	0	0.00455	0	0	0	0	0	0	0.0246	0	0	0	0	0	0.01464	0.01723	0	0.01479	0	0	0
s__Clostridiaceae_bacterium_AF18_31LB	0	0	0	0	0.00662	0.02415	0	0	0	0	0	0	0.00532	0.022	0	0	0	0	0	0.02285	0	0.04576	0	0	0
s__GGB9063_SGB13982	0	0	0	0	0.00424	0.04038	0	0	0.02247	0.0455	0	0	0	0	0	0	0	0	0	1.08322	0	0.03831	0	0	0
s__Massiliimalia_timonensis	0	0	0	0	0	0.00262	0	0.00172	0	0	0	0.01006	0	0	0	0	0.0042	0	0	0	0.00067	0	0	0	0.00065
s__Clostridiales_bacterium_Choco116	0	0	0	0	0	0	0	0.39998	0.2627	0	0	0	0	0.07931	0	0	0	0	0.00877	0	0.00514	0	0.06678	0	0
s__Anaerofilum_sp_BX8	0	0	0	0	0	0	0	0.0248	0	0	0	0	0.01046	0	0	0	0.03661	0	0.0531	0	0	0	0.00234	0	0.00166
s__Anaerotruncus_massiliensis	0	0	0	0	0	0	0	0.01261	0	0	0	0	0.0061	0.00672	0	0	1.42831	0	0.11706	0.00814	0	0	0	0	0
s__Pseudoflavonifractor_capillosus	0	0	0	0	0	0	0	0	0.02434	0	0	0	0	0.00024	0	0	0	0	0	0.00366	0.01434	0	0.00112	0	0.00126
s__GGB9581_SGB79823	0.01464	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02879	0.01064	0.00674	0	0	0	0	0	0	0	0.00616
s__Phocaeicola_massiliensis	7.21631	0	0	0	1.5416	0	0	0	0	0	0	0	0	4.99888	2.26563	10.00108	0	0	0	0	0	0	0	0	0
s__Clostridium_sp_1001270H_150608_G6	0	1.12594	0	0	0.3002	0	0	0	1.3493	0	0	0	0	0	0	0	0	0	0	0	0	0.02714	0	0.02038	0
s__Parabacteroides_goldsteinii	0	1.05339	0	0	0	0.50459	0	0	0	0	0	0	0.46854	0.11195	0	0	0	0	0	0.0005	0	0	0	0	0
s__Paraprevotella_clara	0	0.1978	0	0	0.62816	0	0	0.2471	0	0	0	0	0	0.96898	0	1.64893	0	0	0	0	0	0	0	0	0
s__Streptococcus_SGB14137	0	0.11055	0	0	0	0.06789	0	0	0	0	0	0	0	0	0	0	0	0	0.10634	0	0.02453	0.08147	0	0	0
s__Anaeromassilibacillus_sp_An250	0	0.07503	0	0.20267	0	0	0.65374	0	0	0	0	0	0	0	0	0	0	0	0	0.02806	0	0.04908	0	0	0
s__Faecalicatena_fissicatena	0	0.04122	0	0	0.14797	0	0	0	0	0	0	0	0	0	0	0	0	0.03988	0	0	0	0.22356	0.25658	0	0
s__Lachnospiraceae_bacterium_AM48_27BH	0	0.03179	0.01448	0.09607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08872	0.26903	0	0
s__GGB9524_SGB14924	0	0.0302	0	0	0.01738	0	0	0	0.05499	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00619	0	0.07356
s__Clostridiaceae_unclassified_SGB4747	0	0.01612	0	0	0	0.1336	0	0.65863	0	0	0	0	0	0.00424	0	0	0	0	0	0	0	0	0	0.03029	0
s__Clostridium_sp_AF27_2AA	0	0.01488	0	0	0.20559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05395	0.16822	0	0.06237	0	0
s__Dorea_sp_AF36_15AT	0	0.00956	0	0.00456	0	0	0	0	0.00505	0	0	0	0	0.01255	0	0	0	0.02821	0	0	0	0	0	0	0
s__Coprococcus_sp_AF21_14LB	0	0.00034	0.20598	0	0	0	0.04424	0	0	0	0.01874	0.05182	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Mediterraneibacter_glycyrrhizinilyticus	0	0	0.23339	0	0	0	0	0	0	0.01329	0	0.0025	0	0	0	0.00692	0	0	0	0	0.00703	0	0	0	0
s__Dielma_fastidiosa	0	0	0.08475	0	0	0.00382	0	0	0	0	0	0	0	0	0	0.01648	0.01039	0	0	0	0.05088	0	0	0	0
s__Anaerostipes_caccae	0	0	0.00435	0	0	0	0	0	0	0	0	0.01973	0	0	0.01333	0	0.00106	0	0	0	0	0	0	0	0.00125
s__Eubacteriales_unclassified_SGB15145	0	0	0	0.00842	0.02476	0	0	0	0	0	0	0	0.01338	0.09393	0	0	0	0	0	0	0	0.00529	0	0	0
s__GGB2848_SGB3813	0	0	0	0.00224	0	0	0	0.00913	0	0	0	0	0.02952	0	0	0	0	0	0	0.06326	0	0.00152	0	0	0
s__Angelakisella_massiliensis	0	0	0	0.00073	0	0.02725	0	0	0	0	0	0	0.00445	0	0	0	0	0	0	0.00854	0.04846	0	0	0	0
s__GGB79734_SGB15291	0	0	0	0	0.07602	0	0	0	0	0	0	0	0	0.03024	0	0	0	0	0	0.40436	0.06723	0.17156	0	0	0
s__Veillonella_parvula	0	0	0	0	0.01621	0	0	0	0	0.00055	0.00821	0	0	0	0	0	0	0	0	0.00471	0	0	0	0.01247	0
s__GGB9501_SGB14898	0	0	0	0	0	0.05994	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03127	0.41461	0	0.09502	0	0.27758
s__Lawsonibacter_sp_NSJ_52	0	0	0	0	0	0.01388	0	0.01961	0	0	0	0	0	0.03676	0.01324	0	0	0	0.00872	0	0	0	0	0	0
s__Clostridium_sp_chh4_2	0	0	0	0	0	0.00078	0	0.01509	0	0	0.00013	0.00532	0	0	0	0	0	0	0.01368	0	0	0	0	0	0
s__Collinsella_SGB14987	0	0	0	0	0	0	0.03202	0	0.12168	0	0	0.05717	0	0	0	0	0.15833	0	0	0	0	0	0	0.00419	0
s__Desulfovibrio_fairfieldensis	0	0	0	0	0	0	0	0.21131	0	0	0.13053	0	0	0	0	0	0	0	0.64921	0	0.80208	0	0	0	0.86567
s__GGB52106_SGB72838	0	0	0	0	0	0	0	0.04554	0	0	0	0	0.02013	0.0484	0.04103	0	0	0	0	0	0.04793	0	0	0	0
s__Candidatus_Avimonas_narfia	0	0	0	0	0	0	0	0.01556	0	0	0	0	0.01381	0	0	0	0	0	0.00711	0.00324	0.01271	0	0	0	0
s__GGB9210_SGB14149	0	0	0	0	0	0	0	0.00459	0	0	0	0	0	0	0	0	0	0	0.09105	0.37994	0	0.04718	0	0	0.12076
s__GGB55957_SGB77276	0	0	0	0	0	0	0	0	0	0.03426	0	0	0	0	0.02048	0	0	0.05035	0	0	0.0063	0	0	0.00857	0
s__Massilioclostridium_coli	0	0	0	0	0	0	0	0	0	0	0	0.00103	0.00378	0	0	0	0	0	0.04947	0.00271	0.00111	0	0	0	0
s__GGB9453_SGB14844	0	0	0	0	0	0	0	0	0	0	0	0	0.30856	0	0	0	0	0	0	0.01877	0.01083	0.00652	0	0	0.00847
s__Faecalitalea_cylindroides	0.0102	0	0	0.07855	0.00349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03653	0	0	0
s__GGB3033_SGB4029	0.00183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02254	0	0.01331	0.07382	0	0
s__GGB9176_SGB14114	0	3.87314	0	0.38749	0	0	0	0	0	0	0	0	0.00633	0	0	0	0	0	0	0	0	0.48776	0	0	0
s__Eubacterium_SGB6276	0	1.55376	0	0	1.49986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57279	0	0.52208	0	0	0
s__GGB9343_SGB14307	0	1.32321	0	0	0	0	0	0	0	0	0	0	0.00951	0	0	0	0	0	0	0	0	0.00565	0	0	0.45273
s__Holdemanella_porci	0	0.96098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12635	0	0	0	0.14389	0	0	0	0.85949
s__Butyricimonas_SGB15260	0	0.59616	0.22415	0	0.19669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26974	0	0	0	0
s__GGB9342_SGB14306	0	0.5531	0	0	0	0	0	0.04476	0	0	0	0	3.19012	0	0	0	0	0	0	0	0	0.81021	0	0	0
s__GGB4599_SGB6362	0	0.46846	0	0	0.19705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52516	0	2.37774	0	0
s__GGB9345_SGB14311	0	0.39253	0	0.03101	0	0	0	0	0	0	0	0	0.07284	0	0	0	0	0	0	0	0	0.88343	0	0	0
s__Desulfovibrio_desulfuricans	0	0.27579	0.02666	0	0	0	0	0	0	0.20405	0	0	0.16248	0	0	0	0	0	0	0	0	0	0	0	0
s__Candidatus_Woodwardibium_gallinarum	0	0.20405	0	0.04703	0	0	0	0	0	0	0	0	0.03375	0	0	0	0	0	0	0	0	0	0	0	0.1435
s__Bifidobacterium_bifidum	0	0.05815	0	0.16994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1562	0	0.09465	0	0	0
s__GGB9770_SGB15389	0	0.0561	0	0	0	0	0	0	0	0	0	0	0.07035	0	0	0	0	0	0	0	0	0.00132	0	0	0.58417
s__GGB74463_SGB54347	0	0.05121	0	0	0	0	0	0	0	0	0	0	0.00047	0.00657	0	0	0	0	0	0.00296	0	0	0	0	0
s__Alistipes_dispar	0	0.03988	0	0	0	0	0	0	0	0	0	0	0	0	0.11833	0.44786	0	0	0	0	0	0.13138	0	0	0
s__GGB77437_SGB9391	0	0.0367	0	0	0	0	0	0.03754	0	0	0	0	0	0	0	0	0	0	0	0	0.02122	0.02215	0	0	0
s__GGB33928_SGB15225	0	0.0331	0	0.10422	0	0	0	0	0	0	0	0	0.04014	0	0	0	0	0	0	0	0	0	0.14588	0	0
s__Clostridia_bacterium	0	0.01176	0	0	0	0	0	0	0	0	0	0.31703	0	0	0	0	0	0	0.05938	0	0.00213	0	0	0	0
s__GGB42378_SGB59548	0	0.00855	0	0.01086	0	0	0	0	0	0	0	0	0.00689	0	0	0	0	0	0	0	0	0.00991	0	0	0
s__Bifidobacterium_pseudocatenulatum	0	0.00575	0	0	0	0	0	0	0	0	0	0	0	0	0.05352	0	0	0.03405	0	0	0.02242	0	0	0	0
s__Clostridiales_bacterium_NSJ_32	0	0.00566	0.05029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00919	0	0	0	0	0	0.00885
s__Clostridiales_Family_XIII_bacterium_BX16	0	0.00486	0	0	0	0	0	0	0	0	0	0	0.00138	0	0	0	0	0	0.00715	0.00402	0	0	0	0	0
s__GGB9522_SGB14921	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00071	0	0.0041	0	0	0.14598
s__GGB58233_SGB79883	0	0.00036	0.00297	0	0	0	0.02141	0	0.00304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Blautia_hansenii	0	0	0.43669	0	0	0	0.16017	0	0	0	0	0	0	0	0	0.01213	0	0	0	0	0	0	0	0.01077	0
s__Gemmiger_SGB15299	0	0	0.04473	0	0.09215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15051	0.24015	0	0	0
s__GGB9474_SGB14868	0	0	0.01002	0	0	0	0	0	0.0379	0	0	0.00292	0	0	0	0	0	0	0	0	0.00181	0	0	0	0
s__Veillonella_atypica	0	0	0.0056	0	0	0	0	0	0	0	0.00322	0	0.00324	0	0	0	0	0	0	0	0	0	0	0.0855	0
s__Eisenbergiella_tayi	0	0	0.00279	0	0	0	0	0	0	0	0	0	0.03758	0	0	0	0	0	0.25126	0	0	0	0	0	0.0684
s__GGB3614_SGB4886	0	0	0	0.79589	0	0	0	0	0	0	0	0	0.40373	0	0	0.01132	0	0	0	0	0	0.05508	0	0	0
s__GGB9602_SGB15031	0	0	0	0.63163	0	0	0	0	0	0	0.3202	0	0.04872	0	0	0	0	0	0	0.0823	0	0	0	0	0
s__Gemmiger_SGB15295	0	0	0	0.28355	0	0	0	0	0	0	0	0	0	0.22461	0	0	0	0	0	0	0.37442	0.2543	0	0	0
s__Desulfovibrio_SGB5077	0	0	0	0.0914	0.01259	0.20567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13942	0	0	0
s__GGB9635_SGB15106	0	0	0	0.03076	0	0.03191	0	0	0	0	0	0	3.55732	0	0	0	0	0	0	0	0	0.43287	0	0	0
s__GGB3627_SGB4906	0	0	0	0.02413	0.02394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00079	0.08041	0	0
s__GGB2998_SGB3988	0	0	0	0.02245	0.07559	0	0	0	0	0	0	0	0.03369	0	0	0	0	0	0	0	0	0.04384	0	0	0
s__Butyricimonas_virosa	0	0	0	0.02167	0.29656	0.78803	0	0	0	0	0	0	0	0	0	0.36502	0	0	0	0	0	0	0	0	0
s__Candidatus_Schneewindia_gallinarum	0	0	0	0.01575	0	0	0	0	0.00302	0	0	0	0	0	0	0	0	0	0.00462	0	0	0	0	0	0.07663
s__Butyricimonas_paravirosa	0	0	0	0.00932	0	0	0	0	0	0	0	0	0	0.08208	0	0	0	0	0	0.34153	0	0.15869	0	0	0
s__GGB9724_SGB15278	0	0	0	0.00503	0	0	0	0	0	0	0	0	0.0225	0	0	0	0	0	0	0	0.47156	0.00012	0	0	0
s__Oscillibacter_valericigenes	0	0	0	0.00444	0	0	0	0	0	0	0	0	0	0.02948	0	0	0	0	0	0.03077	0	0.00419	0	0	0
s__GGB34900_SGB14891	0	0	0	0.00321	0	0	0	0	0	0	0	0	0.00173	0	0	0	0.01294	0	0.00451	0	0	0	0	0	0
s__Akkermansia_sp_KLE1798	0	0	0	0.0008	0	2.06322	0	0	0	0	3.87924	0	0.00215	0	0	0	0	0	0	0	0	0	0	0	0
s__Ruminococcus_SGB4421	0	0	0	0	0.10746	0	0	0	0.05503	0	0	0	0	0	0	0	0	0	0.95921	0.9131	0	0	0	0	0
s__Anaerococcus_SGB53821	0	0	0	0	0.039	0.03288	0	0	0.0318	0	0	0	0	0	0	0	0.0441	0	0	0	0	0	0	0	0
s__GGB9760_SGB15374	0	0	0	0	0.03001	0	0	0	0	0	0	0	0	0.06031	0	0	0.42916	0	0	0.1139	0	0	0	0	0
s__GGB4566_SGB6305	0	0	0	0	0.01193	0	0	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.93235	0.27404	0	0	0
s__Holdemania_sp_1001095H_141210_F2	0	0	0	0	0.00874	0	0.17922	0	0	0	0	0	0	0.02069	0	0	0	0.05855	0	0	0	0	0	0	0
s__Clostridium_SGB4648	0	0	0	0	0	0.05045	0	0	0	0	0	0	0.22734	0	0	0	0	0	0	0	0	0.90664	0.03196	0	0
s__Roseburia_sp_BX1005	0	0	0	0	0	0.04055	0	0	0	0	0	0	0	0	0	0	0	0	0.10928	0	0	0.00604	0.01348	0	0
s__GGB9739_SGB15313	0	0	0	0	0	0.00507	0	0	0	0	0	3.1751	0	0	0.28372	0	1.01031	0	0	0	0	0	0	0	0
s__GGB3602_SGB4574	0	0	0	0	0	0	0.1577	0	0	0	0.00451	0.05925	0	0	0	0	0	0.26576	0	0	0	0	0	0	0
s__Clostridium_butyricum	0	0	0	0	0	0	0.00993	0	0	0.00954	0	0	0	0	0.00368	0	0.00809	0	0	0	0	0	0	0	0
s__Parabacteroides_johnsonii	0	0	0	0	0	0	0	1.46928	0	0	1.64954	3.74323	0	0	0	0	0	0	0	0	0	2.45182	0	0	0
